"Date","Interface - In Utilization (%)","Interface - Out Utilization (%)","Interface Discards - In (%)","Interface Discards - Out (%)","Interface Discards - In (pkt)","Interface Discards - Out (pkt)","Interface Errors - In (%)","Interface Errors - Out (%)","Interface Errors - In (pkt)","Interface Errors - Out (pkt)","Interface - In (bps)","Interface - Out (bps)","Interface - In (MB)","Interface - Out (MB)","Interface - In (pkt)","Interface - Out (pkt)","Interface - In (pkt/sec)","Interface - Out (pkt/sec)",
"07/01/2014","              1.03","              0.82","              0.00","              0.00","              0","           3706","              0.00","              0.00","          17562","              0","        6385627","        5124953","        2137760.137","        1716336.683","        14308378060","         2346874891","           5342.620","            876.112",
"08/01/2014","              1.32","              0.90","              0.00","              0.00","              0","           4354","              0.00","              0.00","          26032","              0","        8228897","        5573958","        2703949.026","        1810212.265","        18531605598","         2578251411","           7050.000","            987.606",
"09/01/2014","              0.91","              0.94","              0.00","              0.00","              0","          17694","              0.00","              0.00","           5317","              0","        5645668","        5843161","        1768076.025","        1821902.642","         9189289133","         2611678142","           3662.390","           1044.797",
"10/01/2014","              0.57","              0.83","              0.00","              0.00","              0","           4796","              0.00","              0.00","             37","              0","        3531472","        5161692","        1182182.090","        1725247.553","         2089995240","         2419232668","            780.662","            904.143",
"11/01/2014","              0.72","              0.36","              0.00","              0.00","              0","           5047","              0.00","              0.00","           8123","              0","        4490454","        2226852","        1405710.614","         697624.669","         2267395695","         1234179641","            905.105","            492.509",
"12/01/2014","              0.65","              0.31","              0.00","              0.00","              0","           2183","              0.00","              0.00","             15","              0","        4047756","        1953264","        1352448.435","         652865.677","         2513588712","         1394911680","            941.288","            521.854",
"01/01/2015","              0.54","              0.30","              0.00","              0.00","              0","           1633","              0.00","              0.00","            101","              0","        3368553","        1884390","        1125064.338","         629429.354","         2348034146","         1312732206","            879.493","            491.413",
"02/01/2015","              0.75","              5.29","              0.00","              0.11","              0","        1913355","              0.00","              0.00","           1854","              0","        4665197","       32899809","         833608.767","        2343898.372","         1727866441","         1667500494","           1356.845","           1736.843",
"03/01/2015","              0.92","              5.07","              0.00","              0.09","              0","        1126627","              0.00","              0.00","             27","              0","        5740322","       31536204","         565198.260","        3516348.872","         1294486022","         1283672272","           1664.095","           1472.537",
"04/01/2015","              0.83","              4.62","              0.00","              0.03","              0","         593856","              0.00","              0.00","           6000","              0","        5145963","       28736044","         939398.133","        4554150.505","         1982912530","         2019628197","           1437.059","           1429.118",
"05/01/2015","              0.71","              4.66","              0.00","              0.01","              0","         598725","              0.00","              0.00","            538","              0","        4413873","       28985989","        1475639.194","        9703994.014","         3534406549","         4198896255","           1322.468","           1569.008",
"06/01/2015","              0.94","              5.15","              0.00","              0.01","              0","         629923","              0.00","              0.00","           1812","              0","        5830777","       32014205","        1822760.204","        9981707.070","         4044385793","         4357905036","           1619.429","           1745.312",
"07/01/2015","              1.45","              4.69","              0.00","              0.01","              0","         640255","              0.00","              0.00","             13","              0","        9040790","       29195391","        2930594.157","        9457704.890","         4920600718","         4820507597","           1897.825","           1860.132",
"08/01/2015","              0.89","              6.75","              0.00","              0.04","              0","        2198178","              0.00","              0.00","           4730","              0","        5566106","       41964495","        1803843.117","       13582131.510","         5193712632","         5311780065","           2003.287","           2050.591",
"09/01/2015","              0.84","              7.57","              0.00","              0.14","              0","        7741937","              0.00","              0.00","           8953","              0","        5212616","       47112700","        1632922.446","       14737581.709","         4314151067","         5724926596","           1722.265","           2286.613",
"10/01/2015","              0.87","             11.39","              0.00","              0.20","              0","       15298528","              0.00","              0.00","             62","              0","        5399261","       70870594","        1750738.053","       22959123.111","         4848020665","         7703005653","           1869.510","           2971.889",
"11/01/2015","              0.75","             14.02","              0.00","              0.27","              0","       21112240","              0.00","              0.00","             54","              0","        4641784","       87229591","        1361971.105","       25695862.572","         4451186583","         7817260967","           1883.756","           3321.128",
"12/01/2015","              0.80","             14.88","              0.00","              0.26","              0","       23694590","              0.00","              0.00","           6875","              0","        4949091","       92576015","        1656794.719","       30990450.457","         5283359002","         8987704765","           1972.995","           3355.958",


