hicap_minbw,hicap_minbw_cost,hicap_minbw_cost_plus_mgmt,hicap_inc_per_mb,burstable_cost_sust_rate,burstable_cost_sust_rate_plus_mgmt,flat_cost,flat_cost_plus_mgmt
10,1840,2720,225,11290,12470,1840,2720
15,2465,3345,200,11290,12470,2465,3345
20,3090,3970,190,11290,12470,3090,3970
25,3725,4605,180,11290,12470,3725,4605
30,4350,5230,175,11290,12470,4350,5230
35,4990,5870,175,11290,12470,4990,5870
40,5615,6495,170,11290,12470,5615,6495
45,6250,7130,170,11290,12470,6250,7130
50,6770,7815,165,11290,12470,NA,NA
60,7825,9005,160,11290,12470,NA,NA
70,8875,10055,155,11290,12470,NA,NA
75,9410,10595,155,11290,12470,NA,NA
80,9925,11105,150,18750,19930,NA,NA
90,10975,12155,150,18750,19930,NA,NA
100,12025,13205,145,18750,19930,NA,NA
120,14125,15305,145,18750,19930,NA,NA
144,16225,17405,140,18750,19930,NA,NA
150,17065,18250,140,18750,19930,NA,NA
155,17800,18980,140,26215,27395,17800,18980
200,20975,22780,130,26215,27395,NA,NA
250,24515,26320,120,33665,35470,NA,NA
300,28050,29855,115,33665,35470,NA,NA
350,31600,33405,110,40040,41845,NA,NA
400,35140,36945,110,46415,48220,NA,NA
450,38675,40480,105,46415,48220,NA,NA
500,42215,44020,105,52715,54520,NA,NA
550,45750,47555,100,52715,54520,NA,NA
600,49290,51095,100,60850,62655,NA,NA
622,50700,52505,100,60850,62655,50700,52505
700,56365,58170,100,NA,NA,NA,NA
800,63440,65245,100,NA,NA,NA,NA
900,70875,73930,100,NA,NA,NA,NA
1000,78250,81305,NA,NA,NA,NA,NA
